,question 1,question 2,question 3,question 4,question 5,question 6
95100564,1.5,1.5,1.5,0.75,1,1.25
96100396,,,,,,
96100941,1,0.8,0.2,1,0,1.5
96108486,0.3,0.5,0,0.25,0.25,0
96110804,0,0.7,1,0.5,0,0
97100451,0,0.7,0,0,1,0
97101531,0,0.5,0.5,0.5,0,0.5
97102474,1,0.7,0.7,0.75,1,1.5
97102525,0,0.7,1,0.75,0,0.75
97106968,0.5,0.5,0.5,0.25,0.25,0.75
97110755,0.5,0.7,1,1.25,0,1.5
98100089,,,,,,
98100131,0,0,1,0,0,0
98100164,1.5,0.3,0.2,1.25,1,0
98100237,1.5,0,0,0.5,0,1.5
98100407,1,0,0,0,0,1.25
98102421,0,0,0.5,0.25,0.25,1.5
98102935,0.7,0.8,0.5,0.5,1,0.25
98103223,1.3,1.5,1,0.5,0,1.5
98107893,1.5,1.1,1,0.5,0,0
98108124,0.5,0.7,0.3,0.5,0.25,0.25
98110316,,,,,,
99011003,0.5,0.5,0.3,1,0.25,0.25
99100263,1,0.5,0.5,1.25,0.25,0
99104124,0.5,0.7,0.3,0.75,0.25,1.5
99109058,1.5,1,0.5,1.25,1,1.25
99109466,1.5,1,1,1.25,1,0
